Unnamed: 0,SVM,RF,GB,Arquivo,Dataset,Imputer,Métrica
4,0.7360248447204969,0.7763975155279503,0.7267080745341615,hosp4_SAEI_auc.csv,4,SAEI,AUC
0,0.6914893617021277,0.7127659574468085,0.6382978723404256,hosp1_LPMD_spe.csv,1,LPMD,Specificity
1,0.7526881720430108,0.7741935483870968,0.5053763440860215,hosp1_LPMD_spe.csv,1,LPMD,Specificity
2,0.7634408602150538,0.6559139784946236,0.5806451612903226,hosp1_LPMD_spe.csv,1,LPMD,Specificity
3,0.6774193548387096,0.6559139784946236,0.4623655913978494,hosp1_LPMD_spe.csv,1,LPMD,Specificity
4,0.6451612903225806,0.6989247311827957,0.6774193548387096,hosp1_LPMD_spe.csv,1,LPMD,Specificity
0,0.8746166895021856,0.829320806420043,0.8586073595615581,hosp2_SAEI_auc.csv,2,SAEI,AUC
1,0.8332016447633638,0.8329597677981134,0.8236394420704668,hosp2_SAEI_auc.csv,2,SAEI,AUC
2,0.8530436184794,0.8369991131177941,0.8315810690961863,hosp2_SAEI_auc.csv,2,SAEI,AUC
3,0.8315407562686448,0.8615738127872289,0.8544142546158189,hosp2_SAEI_auc.csv,2,SAEI,AUC
4,0.8591631057002338,0.8588889784729501,0.8415705877610256,hosp2_SAEI_auc.csv,2,SAEI,AUC
0,0.5,0.6666666666666666,0.6666666666666666,hosp1_LPMD_sen.csv,1,LPMD,Recall
1,0.5714285714285714,0.2857142857142857,0.5714285714285714,hosp1_LPMD_sen.csv,1,LPMD,Recall
2,0.5714285714285714,0.5714285714285714,1.0,hosp1_LPMD_sen.csv,1,LPMD,Recall
3,0.7142857142857143,0.7142857142857143,0.7142857142857143,hosp1_LPMD_sen.csv,1,LPMD,Recall
4,0.5,0.8333333333333334,0.8333333333333334,hosp1_LPMD_sen.csv,1,LPMD,Recall
0,0.7783687943262412,0.7216312056737589,0.6648936170212767,hosp1_LPMD2_auc.csv,1,LPMD2,AUC
